pmid,title,pubdate,source,authors
42275298,"Significance of GSH and H(2)S regulation for cancer: an intricate interplay between diet, microbiota, metabolic reprogramming, and immune health.",2026 Dec 31,Redox Rep,Majumder A; Majumder S; Bano S; Sen K; Nayak KB
42271190,Combination therapy with a novel CD2-targeted costimulatory bispecific antibody overcomes limitations of CD3 T cell engager treatment for solid tumors.,2026 Dec 31,MAbs,Danquah W; Pichery M; Eden T; Boyance A; Pasquet L; Roure V; Mars M; Marchand A; Gumz E; Gador M; Valente L; Contini M; Czernecki L; Shanmuganathan S; Barron P; Chabot S; Dangl M; Niederfellner G
42268792,"FTL008.16, a 5T4-Conditional 4-1BB bispecific antibody, potently enhances antitumor immunity via tumor-directed t-cell activation.",2026 Dec 31,Oncoimmunology,Liu S; Ren Z; Tu Y; Chen P; Zhang Y; Zhao S; Chen X; Deng H; Yang S; Qu F; Zhang M; Gou L; Li Q; Huang Y; Ma F; Yang J
42247481,The tumor microenvironment in triple negative breast cancer and a strategy to improve responses to immunotherapy using cryoablation and immunostimulants.,2026 Dec 31,Cancer Biol Ther,Illindala R; Yang Y; Mandt T; Webster N; Steinmetz N; Newton I
42246474,Local delivery of SBRT and IL-12 to murine PDAC tumors modulates hematopoiesis.,2026 Dec 31,Oncoimmunology,Vrooman TG; Quarato ER; Hannon G; Salama NA; Lesch ML; Hughson AL; Chandak VS; Vdovichenko N; Jin Z; Lakony R; Ye J; Eckl SL; Lesser S; Lord EM; Linehan DC; Qiu H; Luheshi N; Eyles J; Calvi LM; Gerber SA
42246276,Genetic variants of the transporter SLC22A4 affect the abundance and survival of Fusobacterium nucleatum in colorectal cancer.,2026 Dec 31,Gut Microbes,Chouaibi S; Fertitta V; Porreca S; Njim L; Carcagnì A; Toietta G; Canettieri G; Zouari K; Mastouri M; Kadri Y; Pani G
42240055,Leveraging the bacteria for enhanced cancer immunotherapy: from a perspective of synthetic biology.,2026 Dec 31,Cancer Biol Ther,Liu X; Zhang H; Du R; Liu Z; Ren Y; Yang X
42228003,Dectin-1 signaling promotes Galectin-3 shedding and expansion of immunosuppressive CD71+ erythroid cells in breast cancer.,2026 Dec 31,Oncoimmunology,Azimi A; Rahmati A; Shahbaz S; Elahi Z; Zahiriabyaneh A; Cao J; Padua EL; Church C; Alimo ET; Lavasanifar A; Walker J; Elahi S
42216567,Umbilical cord blood natural killer cells improve anti-GD2 antibody efficacy in neuroblastoma: from mouse to human.,2026 Dec 31,Oncoimmunology,Song M; Lan Y; Tan X; Wu L; Zhu J; Lu S; Sun F; Gao M; Huang J; Que Y; Zhang Y; Fang X; Li M; Mai Y; Wang J; Xiang T; Zhang Y
42212684,Decoding the microbiome: artificial intelligence-targeted gut microenvironment breakthroughs in personalized cancer therapy.,2026 Dec 31,Gut Microbes,Liu J; Zhao P; Jiang D; Li S; Jin C; Xu D; Wang X; Chen Y; Tang B; Qu X
42204786,"Nanomedicine-based cancer immunotherapy: translational barriers, mechanistic strategies, and future perspectives.",2026 Dec 31,Drug Deliv,Suo X; Liu Y; Zhang G; Li Y
42204757,"Lysosome-directed targeted protein degradation technologies for overcoming cancer drug resistance: mechanisms, design principles, and therapeutic opportunities.",2026 Dec 31,Drug Deliv,Mao H; Zhang Y; Liu M; Yao Y; Peng Y; Zhou X; Huang H; Fei W; Zheng C; Ye Y
42141809,An orthotopic organoid-based model to study early CD8⁺ T cell dysfunction and immunotherapy response in colorectal cancer.,2026 Dec 31,Oncoimmunology,Lucantonio L; Schiano L; Sozio F; Kosta A; Peruzzi G; Molfetta R; Pietropaolo G; Laffranchi M; Campese AF; Bernardini G; Sozzani S; Gismondi A; Santoni A; Sciumè G; Helena S; Fionda C
42141789,Reshaping immunotherapy sequencing strategy: equivalent survival with induction plus consolidation vs. consolidation-only strategy in unresectable stage III NSCLC.,2026 Dec 31,Oncoimmunology,Chen W; Zhao A; Liang Y; Cao X; Wu B; Zhou Y; Zhang W; Zhao M; Hou Q; Yao N; Li F; Duan J; Zhang S; Bi N; Cao J
42126144,Novel multiplex immunofluorescence-based tumor inflammation score provides apparent predictive biomarker in a phase I/II study of pembrolizumab with gemcitabine in patients with previously-treated advanced non-small cell lung cancer (NSCLC).,2026 Dec 31,Oncoimmunology,Sanborn RE; Jensen SM; Paustian C; Chang SC; Vetto E; Vu Q; Rajamanickam V; Bernard B; Koguchi Y; Redmond WL; Fox BA
42124329,Prolonged intratumoral treatment with TLR7/8 agonist R848 regulates the tumor immune microenvironment resulting in enhanced antitumor activity.,2026 Dec 31,Cancer Biol Ther,Zhang Y; Sun X; Cheng S; Qian S; Wan N; Xing F; Li H; Gu H; Wang Z; Dong M; Yang Z; Wu S; Zhang M; Han Z; Zhang X; Liu H; Chen Q
42118848,A relative methylation ordering biomarker of lactylation-related genes predicts prognosis and therapeutic response in cutaneous melanoma.,2026 Dec 31,Epigenetics,Ruan J; Wang L; Liu F; He Y; Li H; Hong G
42118165,Absence of autoantibodies linked to cancer and autoimmune disorders 26 weeks after BNT162b2 boosting in CoronaVac- primed individuals.,2026 Dec 31,Hum Vaccin Immunother,Mat Yassim AS; Mohd Hisham AA; Mohd Rosdan BS; Tan TM; Anuar ND; Mohamed Hashim EK; Norazmi MN
42070121,Trial watch: antibody-drug conjugates in cancer therapy.,2026 Dec 31,Oncoimmunology,Doffe F; Deng X; Shen Z; Xue E; Schauer K; Kroemer G; Kepp O
42057381,Pleiotropic effects of BET inhibition broadly boost tumor immunogenicity to CD8(+) T cells.,2026 Dec 31,Oncoimmunology,Melief J; Baldran-Groves L; Gerault MA; Liang YY; Pasca S; de Los Santos MC; Wickström S; Lövgren T; Ramos AD; Larsson LG; Nordlund P; Seliger B; Kiessling R
42046337,Targeting IL-7Rα with PNU-159682 antibody-drug conjugates in acute lymphoblastic leukemia: translational implications.,2026 Dec 31,MAbs,Yang S; Anzai T; Tsumura R; Fuchigami H; Hamada M; Yuda J; Ikuta K; Yasunaga M
42033215,Advances in natural killer cell immunotherapy for hematologic malignancies.,2026 Dec 31,Cancer Biol Ther,Hu H; Xiong Y; Xia M; Sheng L
42026803,Gene-level gut microbiome signatures as predictive biomarkers for response to immune checkpoint inhibitors across multiple cancer types.,2026 Dec 31,Gut Microbes,Zhang F; Hu K; Sun C; Chen R; Ni G; Liu X; Wei L; Su R
42012822,In-hospital and short-term outcomes in patients with atrial fibrillation undergoing chimeric antigen receptor-T cell therapy.,2026 Dec 31,Hematology,Zhao N; Li W; Chen Q; Zhang Q; Yu Q; Liu N; Zhu X; Yin Z; Wang H; Zhang K; Zhou C; Fang M; Dong H
41992448,Angiopep-2-decorated bacterial outer membrane vesicles penetrate the blood-brain barrier for glioblastoma chemo-immunotherapy.,2026 Dec 31,Drug Deliv,Shah PT; Lou Z; Zhu X; Jin W; Chen C; Hu T; Guo P; Zhao X; Li F; Xiaoliang Y; Wu Z; Wu C
41981741,"Modulating the gut microbiota to enhance immune checkpoint inhibitor efficacy in colorectal cancer: mechanisms, therapeutic strategies, and clinical perspectives.",2026 Dec 31,Gut Microbes,Chen Y; Wang YT; Hu JY; Wang EC; Jia XH; Wang J; Min GT; Jin WL; Jiang L
41963781,Microbiota as a modulator of drug response: targeting microbial-drug crosstalk in cancer therapy.,2026 Dec 31,Gut Microbes,Zhao T; Liu M; Qiu L; Zhang H; Zhang N; Liu Z; Xia Z; Luo P; Huang J; Cheng Q
41943280,Early local immune activation following intra-operative radiotherapy in human breast tissue.,2026 Dec 31,Oncoimmunology,Tiefenthaller A; Brix N; Hennel R; Pazos M; Kost B; von Bodungen V; Rack B; Wuerstlein R; Frey B; Gaipl US; Hess J; Unger K; Dankó B; Selmansberger M; Zitzelsberger H; Harbeck N; Belka C; Scheithauer H; Lauber K
